distance left (km),control stop,speed limit (km/h),height change (m)   ,bearing (deg)
2867              ,0           ,130               ,4.69749863673684    ,139.440296144918
2866              ,0           ,130               ,4.42077820540354    ,139.738117087459
2865              ,0           ,130               ,6.78871662677193    ,134.26396752198
2864              ,0           ,130               ,7.93024241894734    ,132.355271560108
2863              ,0           ,130               ,11.6780136849123    ,133.794288254832
2862              ,0           ,130               ,10.1691928203507    ,156.566869116849
2861              ,0           ,130               ,3.31417474315796    ,131.405935430571
2860              ,0           ,130               ,-2.95054142807021   ,143.047508354905
2859              ,0           ,100               ,-10.1254054708771   ,147.482884335949
2858              ,0           ,100               ,-9.81053683157904   ,132.016977432748
2857              ,0           ,100               ,-3.68168662175437   ,101.187678900559
2856              ,0           ,100               ,1.10512324912288    ,56.3150479695192
2855              ,0           ,100               ,5.83060225543849    ,40.8019019669382
2854              ,0           ,100               ,8.5340971712281     ,80.6247540657728
2853              ,0           ,100               ,10.8714834182457    ,94.6514146924858
2852              ,0           ,100               ,13.2980222957895    ,153.600294531459
2851              ,0           ,100               ,7.78677316421042    ,171.43394881935
2850              ,0           ,100               ,4.35787485228076    ,129.270554994725
2849              ,0           ,100               ,2.91044420842115    ,114.123416759118
2848              ,0           ,100               ,-2.28258657228074   ,114.15960357172
2847              ,0           ,100               ,-0.549050647368574  ,135.606952558594
2846              ,0           ,100               ,2.54391753052641    ,157.234394221802
2845              ,0           ,100               ,4.16600749122799    ,136.565948119648
2844              ,0           ,100               ,6.39291814701775    ,131.870666902562
2843              ,0           ,100               ,11.554357419649     ,121.484095416713
2842              ,0           ,100               ,8.45830019298245    ,93.3574228802792
2841              ,0           ,100               ,8.03477698385953    ,90.5577795552371
2840              ,0           ,100               ,3.87981299122805    ,84.3455954279131
2839              ,0           ,100               ,2.31697027438622    ,66.9704400690889
2838              ,0           ,100               ,4.26339933333333    ,68.214127554772
2837              ,0           ,100               ,2.39080850631566    ,86.216537020885
2836              ,0           ,80                ,0.990293616491329   ,98.7132375917494
2835              ,0           ,80                ,0.103887231228157   ,104.544311569253
2834              ,0           ,130               ,-0.899933073684196  ,118.70354922345
2833              ,0           ,130               ,-1.9299220178948    ,123.95547865348
2832              ,0           ,130               ,-3.2908162600001    ,117.432719144124
2831              ,0           ,130               ,-4.61732348912281   ,109.880881371819
2830              ,0           ,130               ,-5.6192178859647    ,125.164463574247
2829              ,0           ,130               ,-5.54125825578959   ,123.001009485907
2828              ,0           ,130               ,-4.48368524350863   ,123.559126103931
2827              ,0           ,130               ,-2.70798942912288   ,136.964759753561
2826              ,0           ,130               ,-0.122486371929995  ,143.371317442135
2825              ,0           ,130               ,0.171720064561299   ,165.843328526945
2824              ,0           ,130               ,-0.937829805964782  ,173.548910308749
2823              ,0           ,130               ,0.261980521052607   ,173.548546585692
2822              ,0           ,130               ,-1.10015766771926   ,165.578858430183
2821              ,0           ,130               ,-1.62946308736844   ,149.399911043159
2820              ,0           ,130               ,-0.0957224357895541 ,134.172202459789
2819              ,0           ,130               ,0.918848008421065   ,131.184987792825
2818              ,0           ,130               ,0.215269992631789   ,131.096804795232
2817              ,0           ,130               ,1.08748721368394    ,131.097927405722
2816              ,0           ,130               ,2.26087066456139    ,131.155133680739
2815              ,0           ,130               ,1.65439772807022    ,129.539611443515
2814              ,0           ,130               ,-0.291020113684056  ,113.91895940433
2813              ,0           ,130               ,-0.862050988771955  ,105.368356730557
2812              ,0           ,130               ,-3.68345360736851   ,113.420656586406
2811              ,0           ,130               ,-4.20883763614037   ,126.296425623224
2810              ,0           ,130               ,1.01610476385963    ,139.099072180536
2809              ,0           ,130               ,0.507701736140291   ,145.070118633808
2808              ,0           ,130               ,2.40404382280713    ,137.538886413032
2807              ,0           ,130               ,7.00458770140352    ,134.974853487006
2806              ,0           ,130               ,6.7962509477193     ,135.647880539749
2805              ,0           ,130               ,5.87159117684195    ,135.787100969239
2804              ,0           ,100               ,5.59113530736855    ,135.353928889752
2803              ,0           ,130               ,-0.224982549122814  ,105.727180627888
2802              ,0           ,130               ,-6.82928266631583   ,102.871613228343
2801              ,0           ,130               ,-5.27177379473676   ,153.492344985398
2800              ,0           ,130               ,-6.85583867438598   ,166.7128998452
2799              ,0           ,130               ,-5.54291494385973   ,168.24821680859
2798              ,0           ,130               ,-2.27260240350856   ,214.700417332296
2797              ,0           ,130               ,-2.29168658315794   ,186.204470750769
2796              ,0           ,130               ,-3.02677505964925   ,166.702469599704
2795              ,0           ,130               ,-1.75193743824556   ,168.721349280879
2794              ,0           ,130               ,0.114142821052496   ,168.721148127911
2793              ,0           ,130               ,-1.58199588982438   ,167.117466822502
2792              ,0           ,130               ,-0.423530594736718  ,155.089472070972
2791              ,0           ,130               ,-2.35211148140357   ,141.531296292791
2790              ,0           ,130               ,-5.05691297368432   ,133.906718771196
2789              ,0           ,130               ,-4.51583408631578   ,133.718727890784
2788              ,0           ,130               ,-6.13465909473686   ,133.823978099275
2787              ,0           ,130               ,-5.82454097649105   ,133.824703415893
2786              ,0           ,130               ,-4.24692243859664   ,135.240232128529
2785              ,0           ,130               ,-2.77322441263166   ,151.487802966257
2784              ,0           ,130               ,-1.29499089859652   ,152.42800961358
2783              ,0           ,130               ,-0.760135746315683  ,143.242264656178
2782              ,0           ,130               ,0.096312908070189   ,142.789686122601
2781              ,0           ,130               ,-1.03420085543868   ,142.940530399562
2780              ,0           ,130               ,0.759157451929894   ,146.341278685513
2779              ,0           ,130               ,1.57488143859646    ,152.311284674846
2778              ,0           ,130               ,0.345254639649227   ,157.044142084569
2777              ,0           ,130               ,-2.55025953473714   ,157.641239246173
2776              ,0           ,130               ,-5.15788124456111   ,157.642565367108
2775              ,0           ,130               ,-5.61610263228073   ,157.643113572869
2774              ,0           ,130               ,-5.81457576280721   ,150.164704416004
2773              ,0           ,130               ,-1.81196403894725   ,131.773758816117
2772              ,0           ,130               ,-0.18480717298246   ,136.715091493234
2771              ,0           ,130               ,2.71746477087717    ,137.574152590388
2770              ,0           ,130               ,2.73846525017541    ,152.589558567833
2769              ,0           ,130               ,2.54473268105258    ,138.887867136915
2768              ,0           ,130               ,-2.18789874982446   ,141.851374396879
2767              ,0           ,130               ,-4.81160887368418   ,131.35300599047
2766              ,0           ,130               ,-3.83417266210526   ,153.844614164445
2765              ,0           ,130               ,-2.64555804631584   ,182.423730854297
2764              ,0           ,130               ,1.32279022385958    ,187.996472161384
2763              ,0           ,130               ,3.73316549473694    ,172.516725264176
2762              ,0           ,130               ,6.01112926736837    ,153.544994184755
2761              ,0           ,130               ,4.77802673333323    ,162.991605755597
2760              ,0           ,130               ,1.60151415789471    ,162.970374300424
2759              ,0           ,130               ,-0.179684036491039  ,149.297561884939
